# nPCs fraction_variance_PCA_at_max fraction_variance_PCA_with_TL fraction_variance_DL_at_max fraction_variance_DL_with_TL
1.000000000000000000e+01 1.320715274165651931e-01 2.140833919300475785e-01 1.886571284936719717e-01 1.298431316347916364e-01
9.000000000000000000e+00 1.386145251411620705e-01 2.229597415356079637e-01 1.904295201534272064e-01 1.351877506060459588e-01
8.000000000000000000e+00 1.503190013853141493e-01 2.385267207443886039e-01 2.164665740410390837e-01 1.356312797602434173e-01
7.000000000000000000e+00 1.604040791296262314e-01 2.451331625737355469e-01 2.092383163574520755e-01 1.392006218699550490e-01
6.000000000000000000e+00 1.742438565925325533e-01 2.611635794609791228e-01 2.201832237556064775e-01 1.466369055517260933e-01
5.000000000000000000e+00 1.986675605145811763e-01 2.912348665290576122e-01 2.695195356958779431e-01 1.415507791324577269e-01
4.000000000000000000e+00 2.243430971643523009e-01 3.178351983911574807e-01 2.716119874128642975e-01 1.806860717396257532e-01
3.000000000000000000e+00 2.536786749617944148e-01 3.675574772728756878e-01 2.620579165127066568e-01 2.061958150428572223e-01
2.000000000000000000e+00 2.863788724793138174e-01 3.734220290053794078e-01 2.686908939908783100e-01 2.744905747038927091e-01
