# nPCs fraction_variance_PCA fraction_variance_DL
2.000000000000000000e+00 3.673121142602505662e-01 2.486506062443076259e-01
3.000000000000000000e+00 3.231989097224607366e-01 2.050477622051456728e-01
4.000000000000000000e+00 2.880462773459075976e-01 1.705944618582492800e-01
5.000000000000000000e+00 2.531671868698084915e-01 1.524188407006807355e-01
6.000000000000000000e+00 2.278444219873918264e-01 1.489940463518750480e-01
7.000000000000000000e+00 2.050732780462637683e-01 1.473475935807901926e-01
8.000000000000000000e+00 1.897104103757130955e-01 1.388068048658138987e-01
9.000000000000000000e+00 1.774634961193307103e-01 1.390980716373546033e-01
1.000000000000000000e+01 1.684656557106615216e-01 1.351944152594883042e-01
1.100000000000000000e+01 1.574510260650736349e-01 1.310899740506296096e-01
1.200000000000000000e+01 1.465937068796574205e-01 1.271809060862789109e-01
1.300000000000000000e+01 1.374052185044968011e-01 1.200101602225494002e-01
1.400000000000000000e+01 1.307965393862232373e-01 1.162686809224157541e-01
1.500000000000000000e+01 1.236105633283707123e-01 1.197916340632356608e-01
1.600000000000000000e+01 1.167228539418611322e-01 1.207771376280585840e-01
1.700000000000000000e+01 1.102907248107723448e-01 1.218896892869005683e-01
1.800000000000000000e+01 1.044413628574506064e-01 1.226725293987839943e-01
1.900000000000000000e+01 9.859581693809679748e-02 1.303547238559908950e-01
2.000000000000000000e+01 9.361093533659733956e-02 1.159846239896940162e-01
2.100000000000000000e+01 8.928545672075755002e-02 1.161999119689244853e-01
2.200000000000000000e+01 8.447449946020048339e-02 1.136250117842648039e-01
2.300000000000000000e+01 8.081166713415308123e-02 1.178329517995242576e-01
2.400000000000000000e+01 7.700943128978544883e-02 1.155504365438088793e-01
2.500000000000000000e+01 7.335807423682919048e-02 1.130862025448142322e-01
