#SN, zhelio, MJD, epoch, at_max_flag
sn2003du 0.00640 52784.000 17.786 0
sn2003du 0.00640 52778.000 11.824 0
sn2003du 0.00640 52782.000 15.799 0
sn2003du 0.00640 52765.000 -1.093 1
sn2003du 0.00640 52837.000 70.449 0
sn2003du 0.00640 52816.000 49.583 0
sn2003du 0.00640 52791.000 24.742 0
sn2003du 0.00640 52804.000 37.659 0
sn2003du 0.00640 52769.000 2.882 1
sn2003du 0.00640 52796.000 29.710 0
sn2003du 0.00640 52763.000 -3.080 0
sn2003du 0.00640 52772.000 5.862 0
sn1994M 0.02320 49508.000 32.740 0
sn2004S 0.00937 53075.000 34.672 0
sn2004S 0.00937 53040.000 -0.004 1
sn2004S 0.00937 53046.000 5.941 0
nan nan nan nan 0
sn2004S 0.00937 53057.000 16.839 0
sn1997br 0.00710 50625.000 65.237 0
sn1997br 0.00710 50549.000 -10.227 0
sn1997br 0.00710 50596.000 36.441 0
sn1997br 0.00710 50609.000 49.350 0
sn1997br 0.00710 50566.000 6.653 0
sn1997cn 0.01680 50590.000 3.836 0
sn1999ac 0.00950 51236.000 -14.364 0
sn1999ac 0.00950 51267.000 16.345 0
sn1999ac 0.00950 51293.000 42.100 0
sn1999ac 0.00950 51282.000 31.204 0
sn1999ac 0.00950 51262.000 11.392 0
sn1999ac 0.00950 51279.000 28.232 0
sn1999ac 0.00950 51259.000 8.420 0
sn1999ac 0.00950 51248.000 -2.476 1
sn1999ac 0.00950 51290.000 39.128 0
sn1999ac 0.00950 51251.000 0.495 1
sn1999ac 0.00950 51284.000 33.185 0
sn1999ac 0.00950 51258.000 7.429 0
sn1999ac 0.00950 51253.000 2.476 1
sn2000cx 0.00810 51757.000 4.166 0
sn2000cx 0.00810 51813.000 59.716 0
sn2000cx 0.00810 51750.000 -2.778 1
sn2000cx 0.00810 51758.000 5.158 0
sn2000cx 0.00810 51849.000 95.427 0
sn2000cx 0.00810 51877.000 123.202 0
sn2000cx 0.00810 51899.000 145.025 0
sn2000cx 0.00810 51783.000 29.957 0
sn2000cx 0.00810 51752.000 -0.794 1
sn2000cx 0.00810 51823.000 69.636 0
sn2000cx 0.00810 51753.000 0.198 1
sn2000cx 0.00810 51841.000 87.491 0
sn2000cx 0.00810 51793.000 39.877 0
sn1991T 0.00579 48367.000 -7.117 0
sn1991T 0.00579 48368.000 -6.123 0
sn1991T 0.00579 48632.000 256.357 0
sn1991T 0.00579 48363.000 -11.094 0
sn1991T 0.00579 48366.000 -8.112 0
sn1991T 0.00579 48364.000 -10.100 0
sn1991T 0.00579 48415.000 40.606 0
sn1994S 0.01510 49539.000 20.392 0
nan nan nan nan 0
nan nan nan nan 0
nan nan nan nan 0
sn2001V 0.01510 51994.000 20.885 0
sn2001V 0.01510 52030.000 56.349 0
sn2001V 0.01510 51996.000 22.855 0
sn2001V 0.01510 52047.000 73.096 0
sn2001V 0.01510 51965.000 -7.684 0
sn2001V 0.01510 51997.000 23.840 0
sn2001V 0.01510 52023.000 49.453 0
sn2001V 0.01510 51992.000 18.914 0
sn2001V 0.01510 52020.000 46.498 0
sn2001V 0.01510 52013.000 39.602 0
sn2001V 0.01510 52001.000 27.781 0
sn2001V 0.01510 52022.000 48.468 0
sn2001V 0.01510 52026.000 52.409 0
sn2001V 0.01510 51993.000 19.900 0
sn2001V 0.01510 51984.000 11.033 0
sn2001V 0.01510 51985.000 12.019 0
sn2001V 0.01510 52000.000 26.795 0
sn2001V 0.01510 51995.000 21.870 0
sn2001V 0.01510 52079.000 104.620 0
sn2001V 0.01510 52021.000 47.483 0
sn2001V 0.01510 51960.000 -12.610 0
sn2001V 0.01510 51991.000 17.929 0
sn2001V 0.01510 52052.000 78.022 0
sn2001V 0.01510 51986.000 13.004 0
sn2001V 0.01510 51959.000 -13.595 0
sn2001V 0.01510 51969.000 -3.743 0
sn2001V 0.01510 51994.000 20.885 0
sn2001V 0.01510 52025.000 51.424 0
sn2001V 0.01510 51963.000 -9.654 0
sn2001V 0.01510 51982.000 9.063 0
sn2001V 0.01510 51966.000 -6.699 0
sn2001V 0.01510 51962.000 -10.639 0
sn2001V 0.01510 51961.000 -11.624 0
sn2001V 0.01510 52025.000 51.424 0
sn2001V 0.01510 52053.000 79.007 0
sn2001V 0.01510 51983.000 10.048 0
sn2001V 0.01510 51967.000 -5.714 0
sn2001V 0.01510 51993.000 19.900 0
sn1991bg 0.00354 48658.000 54.946 0
sn1991bg 0.00354 48690.000 86.833 0
sn1991bg 0.00354 48604.000 1.136 1
sn1991bg 0.00354 48649.000 45.978 0
sn1991bg 0.00354 48656.000 52.953 0
sn1991bg 0.00354 48656.000 52.953 0
sn1991bg 0.00354 48604.000 1.136 1
sn1991bg 0.00354 48653.000 49.964 0
sn1991bg 0.00354 48632.000 29.038 0
sn2005hk 0.01300 53678.000 -6.515 0
sn2005hk 0.01300 53728.000 42.843 0
sn2005hk 0.01300 53708.000 23.100 0
sn2005hk 0.01300 53676.000 -8.490 0
sn2005hk 0.01300 53697.000 12.241 0
sn2005hk 0.01300 53699.000 14.215 0
sn2005hk 0.01300 53724.000 38.894 0
sn2005hk 0.01300 53680.000 -4.541 0
sn2005hk 0.01300 53679.000 -5.528 0
sn2005hk 0.01300 53727.000 41.856 0
sn2002dj 0.00930 52445.000 -5.548 0
sn2002dj 0.00930 52438.000 -12.484 0
sn2002dj 0.00930 52459.000 8.323 0
sn2002dj 0.00930 52439.000 -11.493 0
sn2002dj 0.00930 52462.000 11.295 0
sn2002dj 0.00930 52519.000 67.770 0
sn2002dj 0.00930 52440.000 -10.502 0
sn2002dj 0.00930 52480.000 29.129 0
sn2002dj 0.00930 52446.000 -4.558 0
sn2002dj 0.00930 52466.000 15.258 0
sn2002dj 0.00930 52471.000 20.212 0
sn2002dj 0.00930 52458.000 7.332 0
sn2002dj 0.00930 52443.000 -7.530 0
sn1998aq 0.00390 50981.000 49.607 0
sn1998aq 0.00390 50961.000 29.684 0
sn1998aq 0.00390 50966.000 34.665 0
sn1998aq 0.00390 50921.000 -10.160 0
sn1998aq 0.00390 50954.000 22.711 0
sn1998aq 0.00390 50932.000 0.797 1
sn1998aq 0.00390 50949.000 17.731 0
sn1998aq 0.00390 50988.000 56.579 0
sn1998aq 0.00390 50935.000 3.785 0
sn1998aq 0.00390 50962.000 30.680 0
sn1998aq 0.00390 50996.000 64.548 0
sn1998aq 0.00390 50936.000 4.781 0
sn1998aq 0.00390 50990.000 58.572 0
sn1998aq 0.00390 50922.000 -9.164 0
sn1998aq 0.00390 50933.000 1.793 1
sn1998aq 0.00390 50930.000 -1.195 1
sn1998aq 0.00390 51012.000 80.486 0
sn1998aq 0.00390 51021.000 89.451 0
sn1998aq 0.00390 50951.000 19.723 0
sn1998aq 0.00390 50937.000 5.777 0
sn1998aq 0.00390 50993.000 61.560 0
sn1998aq 0.00390 51009.000 77.498 0
sn1998aq 0.00390 50985.000 53.591 0
sn1998aq 0.00390 50931.000 -0.199 1
sn1998aq 0.00390 50934.000 2.789 1
nan nan nan nan 0
nan nan nan nan 0
nan nan nan nan 0
nan nan nan nan 0
nan nan nan nan 0
nan nan nan nan 0
nan nan nan nan 0
nan nan nan nan 0
nan nan nan nan 0
nan nan nan nan 0
nan nan nan nan 0
nan nan nan nan 0
nan nan nan nan 0
nan nan nan nan 0
sn1991M 0.00724 48362.000 26.995 0
sn1991M 0.00724 48415.000 79.614 0
sn1991M 0.00724 48337.000 2.175 0
sn1994Q 0.02950 49508.000 11.462 0
sn1994Q 0.02950 49539.000 41.574 0
sn2005bl 0.02406 53501.000 18.457 0
sn2005bl 0.02406 53476.000 -5.957 0
sn2005bl 0.02406 53486.000 3.809 0
sn2005bl 0.02406 53494.000 11.621 0
sn2005bl 0.02406 53477.000 -4.980 0
sn2003hv 0.00560 53001.000 111.277 0
sn2003hv 0.00560 52900.000 10.839 0
sn2003hv 0.00560 52908.000 18.795 0
sn2003hv 0.00560 52897.000 7.856 0
sn2003hv 0.00560 52942.000 52.605 0
sn2003hv 0.00560 52971.000 81.444 0
sn2006X 0.00524 53785.000 -1.094 1
sn2006X 0.00524 53860.000 73.518 0
sn2006X 0.00524 53798.000 11.838 0
sn2006X 0.00524 53853.000 66.554 0
sn2006X 0.00524 53787.000 0.895 1
sn2006X 0.00524 53791.000 4.875 0
sn2006X 0.00524 54062.000 274.473 0
sn1992G 0.00529 48771.000 99.660 0
sn1992G 0.00529 48802.000 130.496 0
sn1992G 0.00529 48780.000 108.612 0
sn1992G 0.00529 48689.000 18.091 0
sn1999ee 0.01141 51510.000 40.240 0
sn1999ee 0.01141 51491.000 21.455 0
sn1999ee 0.01141 51467.000 -2.275 1
sn1999ee 0.01141 51485.000 15.522 0
sn1999ee 0.01141 51462.000 -7.218 0
sn1999ee 0.01141 51488.000 18.488 0
sn1999ee 0.01141 51476.000 6.624 0
sn1999ee 0.01141 51471.000 1.680 1
sn1999ee 0.01141 51480.000 10.579 0
sn1999ee 0.01141 51501.000 31.342 0
sn1999ee 0.01141 51469.000 -0.297 1
sn1999ee 0.01141 51460.000 -9.196 0
sn1999ee 0.01141 51496.000 26.398 0
sn1998bu 0.00290 50989.000 36.195 0
sn1998bu 0.00290 50995.000 42.178 0
sn1998bu 0.00290 50961.000 8.276 0
