0    5    1    
1    3    1    
8    5    1    
2    5    1    
5    8    1    
6    3    1    
3    0    1    
8    6    1    
6    6    1    
8    2    1    
7    1    1    
6    7    1    
2    1    1    
2    3    1    
1    9    1    
6    8    1    
1    6    1    
2    4    1    
4    3    1    
1    7    1    
0    2    1    
7    3    2    
8    0    2    
0    3    2    
3    5    2    
3    2    2    
7    5    2    
0    8    2    
6    1    2    
5    7    2    
2    0    2    
3    4    2    
8    4    2    
9    8    3    
4    0    3    
2    9    3    
0    6    3    
2    7    3    
2    6    3    
7    4    3    
7    7    4    
5    3    4    
8    1    4    
5    4    4    
4    2    4    
1    0    4    
5    5    5    
3    6    5    
6    4    5    
6    5    5    
9    5    5    
0    1    6    
4    4    6    
6    0    6    
3    9    6    
0    7    7    
3    7    7    
4    9    7    
4    5    7    
5    6    8    
7    0    8    
4    7    10    
5    0    10    
8    9    10    
9    7    10    
9    6    10    
4    6    10    
9    3    11    
9    2    12    
9    4    14    
9    1    15    
5    9    16    
6    9    18    
0    0    19    
7    9    19    
0    9    19    
9    9    31    
9    0    69    
